25
Persephona_crinita_LA_USA 종_세부종_지역_국가
Persephona_crinita_TX_USA
Persephona_crinita_MEX
Persephona_crinita_BA_BRA
Persephona_crinita_SP_BRA
Persephona_finneganae_ES_BRA
Persephona_finneganae_VEN
Persephona_lichtensteinii_COL
Persephona_lichtensteinii_HON
Persephona_lichtensteinii_BA_BRA
Persephona_lichtensteinii_SC_BRA
Persephona_mediterranea_SP_BRA
Persephona_mediterranea_SP_BRA
Persephona_mediterranea_MEX
Persephona_mediterranea_TX_USA
Persephona_mediterranea_MEX
Persephona_punctata_SP_BRA
Persephona_punctata_CRI
Persephona_orbicularis_CRI
Persephona_edwardsii_PAN
Persephona_subovata_MEX
Persephona_townsendi_PAN
Iliacantha_hancocki_CRI 여기까지가_같은_종
Lithadia_cadaverosa_LA_USA Outgroup
Ebalia_cariosa_GMx
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	-1	0.000	-1	0.030	-1	-1	0.028	0.028	0.028	-1	-1	-1	0.051	-1	0.051	-1	0.048	-1	-1	0.044	-1	0.055	-1	0.067	0.074
2	0.010	-1	-1	0.030	-1	-1	0.028	0.028	0.028	-1	-1	-1	0.051	-1	0.051	-1	0.048	-1	-1	0.044	-1	0.055	-1	0.067	0.074
3	0.013	0.003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	0.102	0.102	0.099	-1	-1	-1	0.002	0.002	0.007	-1	-1	-1	0.057	-1	0.057	-1	0.051	-1	-1	0.053	-1	0.057	-1	0.076	-1
5	0.104	0.104	0.101	0.005	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	0.102	0.102	0.099	0.003	0.002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	0.106	0.099	0.096	0.030	0.028	0.026	-1	0.000	0.005	-1	-1	-1	0.055	-1	0.055	-1	0.048	-1	-1	0.051	-1	0.055	-1	0.074	0.080
8	0.106	0.099	0.096	0.030	0.028	0.026	0.000	-1	0.005	-1	-1	-1	0.055	-1	0.055	-1	0.048	-1	-1	0.051	-1	0.055	-1	0.074	0.076
9	0.106	0.102	0.099	0.030	0.028	0.026	0.003	0.003	-1	-1	-1	-1	0.051	-1	0.051	-1	0.044	-1	-1	0.046	-1	0.051	-1	0.074	0.076
10	0.102	0.102	0.099	0.003	0.002	0.000	0.026	0.026	0.026	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	0.102	0.102	0.099	0.003	0.002	0.000	0.026	0.026	0.026	0.000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
12	0.157	0.153	0.153	0.167	0.168	0.167	0.168	0.168	0.172	0.167	0.167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13	0.157	0.153	0.153	0.167	0.168	0.167	0.168	0.168	0.172	0.167	0.167	0.000	-1	-1	0.009	-1	0.048	-1	-1	0.032	-1	0.037	-1	0.078	0.067
14	0.160	0.157	0.157	0.178	0.180	0.178	0.183	0.183	0.186	0.178	0.178	0.033	0.033	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	0.162	0.158	0.158	0.180	0.182	0.180	0.185	0.185	0.188	0.180	0.180	0.031	0.031	0.005	-1	-1	0.048	-1	-1	0.032	-1	0.041	-1	0.078	0.071
16	0.158	0.155	0.155	0.177	0.178	0.177	0.182	0.182	0.185	0.177	0.177	0.031	0.031	0.008	0.007 -1	-1	-1	-1	-1	-1	-1	-1	-1	-1
17	0.150	0.152	0.152	0.173	0.175	0.173	0.175	0.175	0.173	0.173	0.173	0.140	0.140	0.142	0.139	0.142	-1	-1	-1	0.039	-1	0.048	-1	0.080	0.069
18	0.155	0.153	0.153	0.158	0.160	0.158	0.163	0.163	0.165	0.158	0.158	0.132	0.132	0.127	0.124	0.127	0.036	-1	-1	-1	-1	-1	-1	-1	-1
19	0.149	0.155	0.155	0.178	0.177	0.178	0.183	0.183	0.185	0.178	0.178	0.172	0.172	0.170	0.172	0.172	0.165	0.168	-1	-1	-1	-1	-1	-1	-1
20	0.167	0.170	0.168	0.175	0.173	0.175	0.173	0.173	0.177	0.175	0.175	0.170	0.170	0.167	0.167	0.163	0.134	0.139	0.177	-1	-1	0.037	-1	0.080	0.062
21	0.163	0.165	0.162	0.172	0.170	0.172	0.178	0.178	0.178	0.172	0.172	0.167	0.167	0.155	0.152	0.158	0.155	0.144	0.173	0.167	-1	-1	-1	-1	-1
22	0.155	0.162	0.162	0.185	0.183	0.185	0.190	0.190	0.188	0.185	0.185	0.168	0.168	0.173	0.175	0.175	0.165	0.172	0.017	0.183	0.183	-1	-1	0.083	0.080
23	0.163	0.165	0.162	0.175	0.173	0.175	0.178	0.178	0.178	0.175	0.175	0.163	0.163	0.152	0.149	0.155	0.152	0.147	0.177	0.163	0.003	0.186	-1	-1	-1
24	0.160	0.163	0.162	0.170	0.172	0.170	0.162	0.162	0.162	0.170	0.170	0.182	0.182	0.185	0.185	0.182	0.163	0.160	0.190	0.180	0.177	0.193	0.177	-1	0.062
25	0.150	0.155	0.155	0.160	0.162	0.160	0.158	0.158	0.158	0.160	0.160	0.170	0.170	0.175	0.173	0.173	0.152	0.145	0.191	0.165	0.157	0.193	0.157	0.124	-1
